"fecha y hora del reporte (UTC)","longitud","latitud","estado del cielo","descripción del cielo","temperatura actual (°C)","temperatura mínima (°C)","temperatura máxima (°C)","presión (hPa)","humedad (%)","visibilidad (m)","velocidad del viento (m/s)","dirección del viento (°)","nubes (%)","hora del amanecer (UNIX)","hora del atardecer (UNIX)","zona horaria","nombre de la ciudad","id de la ciudad"
2024-08-14 00:21:54,116.3972,39.9075,Clear,clear sky,25.14,25.14,25.14,1011,76,10000,1.85,5,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 00:21:54,116.3972,39.9075,Clear,clear sky,25.14,25.14,25.14,1011,76,10000,1.85,5,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 00:21:54,116.3972,39.9075,Clear,clear sky,25.14,25.14,25.14,1011,76,10000,1.85,5,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 00:21:54,116.3972,39.9075,Clear,clear sky,25.14,25.14,25.14,1011,76,10000,1.85,5,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 00:21:54,116.3972,39.9075,Clear,clear sky,25.14,25.14,25.14,1011,76,10000,1.85,5,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 00:45:01,116.3972,39.9075,Clear,clear sky,27.21,27.21,27.21,1011,66,10000,1.97,24,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 00:45:01,116.3972,39.9075,Clear,clear sky,27.21,27.21,27.21,1011,66,10000,1.97,24,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 00:59:18,116.3972,39.9075,Clear,clear sky,27.21,27.21,27.21,1011,66,10000,1.97,24,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:05:01,116.3972,39.9075,Clear,clear sky,27.21,27.21,27.21,1011,66,10000,1.97,24,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:05:01,116.3972,39.9075,Clear,clear sky,27.21,27.21,27.21,1011,66,10000,1.97,24,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:05:01,116.3972,39.9075,Clear,clear sky,27.21,27.21,27.21,1011,66,10000,1.97,24,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:20:02,116.3972,39.9075,Clear,clear sky,27.21,27.21,27.21,1011,66,10000,1.97,24,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:35:53,116.3972,39.9075,Clear,clear sky,28.84,28.84,28.84,1011,58,10000,1.86,42,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:35:53,116.3972,39.9075,Clear,clear sky,28.84,28.84,28.84,1011,58,10000,1.86,42,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:40:02,116.3972,39.9075,Clear,clear sky,28.84,28.84,28.84,1011,58,10000,1.86,42,0,1723584317,1723633987,28800,Beijing,1816670
